,shortname,name,content
113,p243,P243,Havre
114,p245,P245,Erter og bønner til konservesindustri (høstet før modning)
115,p247,P247,Høsthvete
116,p264,P264,"Grønnsaker på friland, inkl. matkålrot og urter"
117,p271,P271,Moreller og kirsebær
118,p272,P272,Epler
119,p273,P273,Pærer
120,p274,P274,Plommer
121,p280,P280,Jordbær
122,p282,P282,Andre bærarter
123,p283,P283,Andre fruktarter
124,p285,P285,Planteskoleareal og blomsterdyrking på friland
125,p290,P290,Brakka areal
126,p292,P292,Fulldyrket og/eller overflatedyrket areal ute av drift
127,p293,P293,"Innmarksbeite, ute av drift"
128,p294,P294,"Areal i drift, men ikke berettiget produksjonstilskudd"
129,p410,P410,Melkekyr og ammekyr på utmarksbeite
130,p411,P411,Melkekyr og ammekyr på beite i minst 12/16 uker
131,p420,P420,Øvrige storfe på utmarksbeite
132,p422,P422,Øvrige storfe på beite i minst 12/16 uker
133,p431_sanket_utmarksbeite,P431 sanket utmarksbeite,"Sauer, født i fjor eller tidligere, sanket fra utmarksbeite"
134,p431_sluppet_utmarksbeite,P431 sluppet utmarksbeite,"Sauer, født i fjor eller tidligere, sluppet på utmarksbeite"
135,p432_sanket_utmarksbeite,P432 sanket utmarksbeite,"Lam, født i år, sanket fra utmarksbeite"
136,p432_sluppet_utmarksbeite,P432 sluppet utmarksbeite,"Lam, født i år, sluppet på utmarksbeite"
137,p440,P440,"Geiter, voksne og kje, på utmarksbeite"
138,p445,P445,"Geiter, voksne og kje, på beite i minst 12/16 uker"
139,p450,P450,Hester på utmarksbeite
140,p455,P455,Hester på beite i minst 12/16 uker
141,p480,P480,Lama på beite i minst 12/16 uker
142,p481,P481,Alpakka på beite i minst 12/16 uker
143,p486,P486,Hjort på beite i minst 12/16 uker
144,p487,P487,"Sauer, født i fjor eller tidligere, på beite i minst 12/16 uker"
145,p488,P488,"Lam, født i år, på beite i minst 12/16 uker"
146,p521,P521,"Salg av grovfôr, høy"
147,p522,P522,"Salg av grovfôr, surfôr"
148,p523,P523,"Salg av grovför, høyensilasje"
149,p720,P720,Kyr av bevaringsverdig rase
150,p721,P721,Okser av bevaringsverdig rase
151,p722,P722,"Søyer av bevaringsverdig rase, født i fjor eller tidligere"
152,p723,P723,"Værer av bevaringsverdig rase, født i fjor eller tidligere"
153,p724,P724,Ammegeiter av bevaringsverdig rase
154,p725,P725,Unghester under 3 år av bevaringsverdig rase
155,p801_vaar,P801 vår,Økologiske melkekyr
156,p801_hoest,P801 høst,Økologiske melkekyr
157,p802_vaar,P802 vår,Økologiske ammekyr
158,p802_hoest,P802 høst,Økologiske ammekyr
159,p803_vaar,P803 vår,Økologiske øvrige storfe
160,p803_hoest,P803 høst,Økologiske øvrige storfe
161,p810_vaar,P810 vår,Økologiske melkegeiter
162,p810_hoest,P810 høst,Økologiske melkegeiter
163,p811_vaar,P811 vår,Økologiske ammegeiter
164,p821_vaar,P821 vår,Økologiske sauer født i fjor eller tidligere
165,p830_vaar,P830 vår,Økologiske avlsgriser
166,p830_hoest,P830 høst,Økologiske avlsgriser
167,p831,P831,"Økologiske slaktegriser, slaktet i søknadsåret"
168,p840,P840,"Økologiske kyllinger, slaktet i søknadsåret"
169,p841_vaar,P841 vår,Økologiske verpehøner
170,p841_hoest,P841 høst,Økologiske verpehøner
171,p852,P852,"Grønngjødsling, 2. års karens"
172,p855,P855,"Korn til modning og krossing, økologisk samt 2. års karens"
173,p861,P861,"Poteter, økologisk areal samt 2.års karens"
174,p863,P863,"Frukt og bær, økologisk areal samt 2. års karens"
175,p864,P864,"Grønnsaker, økologisk areal samt 2. års karens"
176,p870,P870,"Grovfôrareal (unntatt innmarksbeite), økologisk areal samt 2. års karens"
177,p871,P871,"Innmarksbeite, økologisk areal"
178,p875,P875,"Grønngjødsling, økologisk areal"
179,p876,P876,Areal brakket for å bekjempe ugress
180,p880,P880,Innmarksbeite i 1. års karens
181,p881,P881,Grovfôrareal (unntatt innmarksbeite) i 1. års karens
182,p882,P882,Annet areal i 1. års karens
183,arealtilskudd,Arealtilskudd,Arealtilskudd
184,avloesertilskudd,Tilskudd til avløsning ved ferie og fritid,Tilskudd til avløsning ved ferie og fritid
185,beitetilskudd,Tilskudd for dyr på beite,Tilskudd for dyr på beite
186,bevaringsverdige_husdyr_tilsku,Tilskudd for dyr av bevaringsverdige husdyrraser,Tilskudd for dyr av bevaringsverdige husdyrraser
187,distriktstilskudd_frukt_groent,"Distriktstilskudd for frukt, bær, veksthusgrønnsaker (inkl. salat på friland)","Distriktstilskudd for frukt, bær, veksthusgrønnsaker (inkl. salat på friland)"
188,distriktstilskudd_potet,Distriktstilskudd for matpotet i Nord-Norge,Distriktstilskudd for matpotet i Nord-Norge
189,husdyrtilskudd,Husdyrtilskudd,Husdyrtilskudd
190,kulturlandskapstilskudd,Kulturlandskapstilskudd,Kulturlandskapstilskudd
191,melkeproduksjon,Driftstilskudd til melkeproduksjon,Driftstilskudd til melkeproduksjon
192,oekologiskarealtilskudd,Arealtilskudd til økologisk landbruk,Arealtilskudd til økologisk landbruk
193,oekologiskhusdyrtilskudd,Tilskudd til økologisk husdyrproduksjon,Tilskudd til økologisk husdyrproduksjon
194,smaa_mellomstore_melkebruk,Tilskudd til små og mellomstore melkebruk,Tilskudd til små og mellomstore melkebruk
195,storfekjoettproduksjon,Driftstilskudd til spesialisert storfekjøttproduksjon,Driftstilskudd til spesialisert storfekjøttproduksjon
196,utmarksbeitetilskudd,Tilskudd for dyr på utmarksbeite,Tilskudd for dyr på utmarksbeite
197,bunnfradrag,Bunnfradrag,Bunnfradrag
198,sum_produksjons_og_avloesertilskudd,Sum produksjons- og avloesertilskudd,Sum produksjons- og avløsertilskudd
